Title,Authors,Date,Price
Poems,Christopher Lee,1937,GBP 19.95
Poems,Kenneth Allott,1938,GBP 19.95
Selected Poems,Cecil Day Lewis,1940,GBP 19.95
Selected Poems,William Plomer,1940,GBP 19.95
Selected Poems,Herman Melville,1941,GBP 19.95
Selected Poems,Rainer Maria Rilke,1941,GBP 19.95
Selected Poems,Vita Sackville-West,1941,GBP 19.95
Poems,Terence Tiller,1941,GBP 19.95
Noah and the Waters,Cecil Day Lewis,1936,US $27.50
Poems,C.N. Sidney Woolf,1918,US $25.08
Poems,TS Eliot,1919,US $25.08
Poems,Clive Bell,1921,US $25.08
Poems,Frank Prewett,1921,US $25.08
Poems,GH Luce,1923,US $25.08
Poems,Barrington Gates,1925,US $25.08
Poems,George Rylands,1931,US $25.08
Poems,Maria Rainer Rilke,1934,US $25.08
Poems,Christopher Lee,1937,US $25.08
Poems,Kenneth Allott,1938,US $25.08
Selected Poems,Cecil Day Lewis,1940,US $25.08
Selected Poems,William Plomer,1940,US $25.08
Selected Poems,Herman Melville,1941,US $25.08
Selected Poems,Rainer Maria Rilke,1941,US $25.08
Selected Poems,Vita Sackville-West,1941,US $25.08
Poems,Terence Tiller,1941,US $25.08
Letters,Stephen Reynolds,1923,US $200.00
The Common Reader,Virginia Woolf,1925,"US $2,800.00"
Monday or Tuesday,Virginia Woolf,1921,"US $2,000.00"
Poets of Tomorrow,John Lehmann,1939,US $16.00
Poets of Tomorrow,John Lehmann,1940,US $16.00
Sally Bowles,Christopher Isherwood,1937,"US $4,800.00"
Letters,Stephen Reynolds,1923,AU $67.27
Letters,Stephen Reynolds,1923,GBP 5.99
Original Letters from India,Eliza Fay,1925,GBP 5.99
Monday or Tuesday,Virginia Woolf,1921,US $11.73
Letters,Stephen Reynolds,1923,AU $11.37
Collected Papers,Sigmund Freud,1924,US $27.19
After the Deluge,Leonard Woolf,1931,US $26.10
After the Deluge,Leonard Woolf,1939,US $26.10
Poems,C.N. Sidney Woolf,1918,US $14.00
Poems,TS Eliot,1919,US $14.00
Poems,Clive Bell,1921,US $14.00
Poems,Frank Prewett,1921,US $14.00
Poems,GH Luce,1923,US $14.00
Poems,Barrington Gates,1925,US $14.00
Poems,George Rylands,1931,US $14.00
Poems,Maria Rainer Rilke,1934,US $14.00
Poems,Christopher Lee,1937,US $14.00
Poems,Kenneth Allott,1938,US $14.00
Poems,Terence Tiller,1941,US $14.00
Poems,C.N. Sidney Woolf,1918,GBP 48.10
Poems,TS Eliot,1919,GBP 48.10
Poems,Clive Bell,1921,GBP 48.10
Poems,Frank Prewett,1921,GBP 48.10
Poems,GH Luce,1923,GBP 48.10
Poems,Barrington Gates,1925,GBP 48.10
Poems,George Rylands,1931,GBP 48.10
Collected Poems,Vita Sackville-West,1933,GBP 48.10
Poems,Maria Rainer Rilke,1934,GBP 48.10
Collected Poems,Cecil Day Lewis,1935,GBP 48.10
Poems,Christopher Lee,1937,GBP 48.10
Poems,Kenneth Allott,1938,GBP 48.10
Poems,Terence Tiller,1941,GBP 48.10
Letters,Stephen Reynolds,1923,US $17.95
Poems,C.N. Sidney Woolf,1918,US $27.25
Poems,TS Eliot,1919,US $27.25
Poems,Clive Bell,1921,US $27.25
Poems,Frank Prewett,1921,US $27.25
Poems,GH Luce,1923,US $27.25
Poems,Barrington Gates,1925,US $27.25
Poems,George Rylands,1931,US $27.25
Poems,Maria Rainer Rilke,1934,US $27.25
Poems,Christopher Lee,1937,US $27.25
Poems,Kenneth Allott,1938,US $27.25
Poems,Terence Tiller,1941,US $27.25
Letters,Stephen Reynolds,1923,US $43.75
Dream Analysis,Ella Freeman Sharpe,1937,US $52.95
The Psycho-Analysis of Children,Melanie Klein,1932,AU $40.56
Letters,Stephen Reynolds,1923,US $126.95
The Years,Virginia Woolf,1938,"US $1,750.00"
To the Lighthouse,Virginia Woolf,1927,"US $3,000.00"
Parallax,Nancy Cunard,1925,"US $1,000.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $7,500.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $6,500.00"
Amber Innocent,Joan Aden Easdale,1939,"US $1,500.00"
Sally Bowles,Christopher Isherwood,1937,US $200.00
The Waves,Virginia Woolf,1931,US $120.00
The Years,Virginia Woolf,1938,US $29.99
The Waves,Virginia Woolf,1931,US $240.00
Sally Bowles,Christopher Isherwood,1937,"US $5,000.00"
Poems,C.N. Sidney Woolf,1918,GBP 19.95
Poems,TS Eliot,1919,GBP 19.95
Poems,Clive Bell,1921,GBP 19.95
Poems,Frank Prewett,1921,GBP 19.95
Poems,GH Luce,1923,GBP 19.95
Poems,Barrington Gates,1925,GBP 19.95
Poems,George Rylands,1931,GBP 19.95
Poems,Maria Rainer Rilke,1934,GBP 19.95
Poems,Christopher Lee,1937,GBP 19.95
Poems,Kenneth Allott,1938,GBP 19.95
Selected Poems,Cecil Day Lewis,1940,GBP 19.95
Selected Poems,William Plomer,1940,GBP 19.95
Selected Poems,Herman Melville,1941,GBP 19.95
Selected Poems,Rainer Maria Rilke,1941,GBP 19.95
Selected Poems,Vita Sackville-West,1941,GBP 19.95
Poems,Terence Tiller,1941,GBP 19.95
Noah and the Waters,Cecil Day Lewis,1936,US $27.50
Poems,C.N. Sidney Woolf,1918,US $25.08
Poems,TS Eliot,1919,US $25.08
Poems,Clive Bell,1921,US $25.08
Poems,Frank Prewett,1921,US $25.08
Poems,GH Luce,1923,US $25.08
Poems,Barrington Gates,1925,US $25.08
Poems,George Rylands,1931,US $25.08
Poems,Maria Rainer Rilke,1934,US $25.08
Poems,Christopher Lee,1937,US $25.08
Poems,Kenneth Allott,1938,US $25.08
Selected Poems,Cecil Day Lewis,1940,US $25.08
Selected Poems,William Plomer,1940,US $25.08
Selected Poems,Herman Melville,1941,US $25.08
Selected Poems,Rainer Maria Rilke,1941,US $25.08
Selected Poems,Vita Sackville-West,1941,US $25.08
Poems,Terence Tiller,1941,US $25.08
Letters,Stephen Reynolds,1923,US $200.00
The Common Reader,Virginia Woolf,1925,"US $2,800.00"
Monday or Tuesday,Virginia Woolf,1921,"US $2,000.00"
Poets of Tomorrow,John Lehmann,1939,US $16.00
Poets of Tomorrow,John Lehmann,1940,US $16.00
Sally Bowles,Christopher Isherwood,1937,"US $4,800.00"
Letters,Stephen Reynolds,1923,AU $67.27
Letters,Stephen Reynolds,1923,GBP 5.99
Original Letters from India,Eliza Fay,1925,GBP 5.99
Monday or Tuesday,Virginia Woolf,1921,US $11.73
Letters,Stephen Reynolds,1923,AU $11.37
Collected Papers,Sigmund Freud,1924,US $27.19
After the Deluge,Leonard Woolf,1931,US $26.10
After the Deluge,Leonard Woolf,1939,US $26.10
Poems,C.N. Sidney Woolf,1918,US $14.00
Poems,TS Eliot,1919,US $14.00
Poems,Clive Bell,1921,US $14.00
Poems,Frank Prewett,1921,US $14.00
Poems,GH Luce,1923,US $14.00
Poems,Barrington Gates,1925,US $14.00
Poems,George Rylands,1931,US $14.00
Poems,Maria Rainer Rilke,1934,US $14.00
Poems,Christopher Lee,1937,US $14.00
Poems,Kenneth Allott,1938,US $14.00
Poems,Terence Tiller,1941,US $14.00
Poems,C.N. Sidney Woolf,1918,GBP 48.10
Poems,TS Eliot,1919,GBP 48.10
Poems,Clive Bell,1921,GBP 48.10
Poems,Frank Prewett,1921,GBP 48.10
Poems,GH Luce,1923,GBP 48.10
Poems,Barrington Gates,1925,GBP 48.10
Poems,George Rylands,1931,GBP 48.10
Collected Poems,Vita Sackville-West,1933,GBP 48.10
Poems,Maria Rainer Rilke,1934,GBP 48.10
Collected Poems,Cecil Day Lewis,1935,GBP 48.10
Poems,Christopher Lee,1937,GBP 48.10
Poems,Kenneth Allott,1938,GBP 48.10
Poems,Terence Tiller,1941,GBP 48.10
Letters,Stephen Reynolds,1923,US $17.95
Poems,C.N. Sidney Woolf,1918,US $27.25
Poems,TS Eliot,1919,US $27.25
Poems,Clive Bell,1921,US $27.25
Poems,Frank Prewett,1921,US $27.25
Poems,GH Luce,1923,US $27.25
Poems,Barrington Gates,1925,US $27.25
Poems,George Rylands,1931,US $27.25
Poems,Maria Rainer Rilke,1934,US $27.25
Poems,Christopher Lee,1937,US $27.25
Poems,Kenneth Allott,1938,US $27.25
Poems,Terence Tiller,1941,US $27.25
Letters,Stephen Reynolds,1923,US $43.75
Dream Analysis,Ella Freeman Sharpe,1937,US $52.95
The Psycho-Analysis of Children,Melanie Klein,1932,AU $40.56
Letters,Stephen Reynolds,1923,US $126.95
The Years,Virginia Woolf,1938,"US $1,750.00"
To the Lighthouse,Virginia Woolf,1927,"US $3,000.00"
Parallax,Nancy Cunard,1925,"US $1,000.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $7,500.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $6,500.00"
Amber Innocent,Joan Aden Easdale,1939,"US $1,500.00"
Sally Bowles,Christopher Isherwood,1937,US $200.00
The Waves,Virginia Woolf,1931,US $120.00
The Years,Virginia Woolf,1938,US $29.99
The Waves,Virginia Woolf,1931,US $240.00
Sally Bowles,Christopher Isherwood,1937,"US $5,000.00"
Poems,C.N. Sidney Woolf,1918,GBP 19.95
Poems,TS Eliot,1919,GBP 19.95
Poems,Clive Bell,1921,GBP 19.95
Poems,Frank Prewett,1921,GBP 19.95
Poems,GH Luce,1923,GBP 19.95
Poems,Barrington Gates,1925,GBP 19.95
Poems,George Rylands,1931,GBP 19.95
Poems,Maria Rainer Rilke,1934,GBP 19.95
Poems,Christopher Lee,1937,GBP 19.95
Poems,Kenneth Allott,1938,GBP 19.95
Selected Poems,Cecil Day Lewis,1940,GBP 19.95
Selected Poems,William Plomer,1940,GBP 19.95
Selected Poems,Herman Melville,1941,GBP 19.95
Selected Poems,Rainer Maria Rilke,1941,GBP 19.95
Selected Poems,Vita Sackville-West,1941,GBP 19.95
Poems,Terence Tiller,1941,GBP 19.95
Noah and the Waters,Cecil Day Lewis,1936,US $27.50
Poems,C.N. Sidney Woolf,1918,US $25.08
Poems,TS Eliot,1919,US $25.08
Poems,Clive Bell,1921,US $25.08
Poems,Frank Prewett,1921,US $25.08
Poems,GH Luce,1923,US $25.08
Poems,Barrington Gates,1925,US $25.08
Poems,George Rylands,1931,US $25.08
Poems,Maria Rainer Rilke,1934,US $25.08
Poems,Christopher Lee,1937,US $25.08
Poems,Kenneth Allott,1938,US $25.08
Selected Poems,Cecil Day Lewis,1940,US $25.08
Selected Poems,William Plomer,1940,US $25.08
Selected Poems,Herman Melville,1941,US $25.08
Selected Poems,Rainer Maria Rilke,1941,US $25.08
Selected Poems,Vita Sackville-West,1941,US $25.08
Poems,Terence Tiller,1941,US $25.08
Letters,Stephen Reynolds,1923,US $200.00
The Common Reader,Virginia Woolf,1925,"US $2,800.00"
Monday or Tuesday,Virginia Woolf,1921,"US $2,000.00"
Poets of Tomorrow,John Lehmann,1939,US $16.00
Poets of Tomorrow,John Lehmann,1940,US $16.00
Sally Bowles,Christopher Isherwood,1937,"US $4,800.00"
Letters,Stephen Reynolds,1923,AU $67.27
Letters,Stephen Reynolds,1923,GBP 5.99
Original Letters from India,Eliza Fay,1925,GBP 5.99
Letters,Stephen Reynolds,1923,US $126.95
Monday or Tuesday,Virginia Woolf,1921,US $11.73
Dream Analysis,Ella Freeman Sharpe,1937,US $52.95
Letters,Stephen Reynolds,1923,AU $11.37
Collected Papers,Sigmund Freud,1924,US $27.19
After the Deluge,Leonard Woolf,1931,US $26.10
After the Deluge,Leonard Woolf,1939,US $26.10
Poems,C.N. Sidney Woolf,1918,US $14.00
Poems,TS Eliot,1919,US $14.00
Poems,Clive Bell,1921,US $14.00
Poems,Frank Prewett,1921,US $14.00
Poems,GH Luce,1923,US $14.00
Poems,Barrington Gates,1925,US $14.00
Poems,George Rylands,1931,US $14.00
Poems,Maria Rainer Rilke,1934,US $14.00
Poems,Christopher Lee,1937,US $14.00
Poems,Kenneth Allott,1938,US $14.00
Poems,Terence Tiller,1941,US $14.00
Poems,C.N. Sidney Woolf,1918,GBP 48.10
Poems,TS Eliot,1919,GBP 48.10
Poems,Clive Bell,1921,GBP 48.10
Poems,Frank Prewett,1921,GBP 48.10
Poems,GH Luce,1923,GBP 48.10
Poems,Barrington Gates,1925,GBP 48.10
Poems,George Rylands,1931,GBP 48.10
Collected Poems,Vita Sackville-West,1933,GBP 48.10
Poems,Maria Rainer Rilke,1934,GBP 48.10
Collected Poems,Cecil Day Lewis,1935,GBP 48.10
Poems,Christopher Lee,1937,GBP 48.10
Poems,Kenneth Allott,1938,GBP 48.10
Poems,Terence Tiller,1941,GBP 48.10
Letters,Stephen Reynolds,1923,US $17.95
Poems,C.N. Sidney Woolf,1918,US $27.25
Poems,TS Eliot,1919,US $27.25
Poems,Clive Bell,1921,US $27.25
Poems,Frank Prewett,1921,US $27.25
Poems,GH Luce,1923,US $27.25
Poems,Barrington Gates,1925,US $27.25
Poems,George Rylands,1931,US $27.25
Poems,Maria Rainer Rilke,1934,US $27.25
Poems,Christopher Lee,1937,US $27.25
Poems,Kenneth Allott,1938,US $27.25
Poems,Terence Tiller,1941,US $27.25
Letters,Stephen Reynolds,1923,US $43.75
The Psycho-Analysis of Children,Melanie Klein,1932,AU $40.56
The Years,Virginia Woolf,1938,"US $1,750.00"
To the Lighthouse,Virginia Woolf,1927,"US $3,000.00"
Parallax,Nancy Cunard,1925,"US $1,000.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $7,500.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $6,500.00"
Amber Innocent,Joan Aden Easdale,1939,"US $1,500.00"
Sally Bowles,Christopher Isherwood,1937,US $200.00
The Waves,Virginia Woolf,1931,US $120.00
The Years,Virginia Woolf,1938,US $29.99
The Waves,Virginia Woolf,1931,US $240.00
Sally Bowles,Christopher Isherwood,1937,"US $5,000.00"
Poems,C.N. Sidney Woolf,1918,GBP 19.95
Poems,TS Eliot,1919,GBP 19.95
Poems,Clive Bell,1921,GBP 19.95
Poems,Frank Prewett,1921,GBP 19.95
Poems,GH Luce,1923,GBP 19.95
Poems,Barrington Gates,1925,GBP 19.95
Poems,George Rylands,1931,GBP 19.95
Poems,Maria Rainer Rilke,1934,GBP 19.95
Poems,Christopher Lee,1937,GBP 19.95
Poems,Kenneth Allott,1938,GBP 19.95
Selected Poems,Cecil Day Lewis,1940,GBP 19.95
Selected Poems,William Plomer,1940,GBP 19.95
Selected Poems,Herman Melville,1941,GBP 19.95
Selected Poems,Rainer Maria Rilke,1941,GBP 19.95
Selected Poems,Vita Sackville-West,1941,GBP 19.95
Poems,Terence Tiller,1941,GBP 19.95
Noah and the Waters,Cecil Day Lewis,1936,US $27.50
Poems,C.N. Sidney Woolf,1918,US $25.08
Poems,TS Eliot,1919,US $25.08
Poems,Clive Bell,1921,US $25.08
Poems,Frank Prewett,1921,US $25.08
Poems,GH Luce,1923,US $25.08
Poems,Barrington Gates,1925,US $25.08
Poems,George Rylands,1931,US $25.08
Poems,Maria Rainer Rilke,1934,US $25.08
Poems,Christopher Lee,1937,US $25.08
Poems,Kenneth Allott,1938,US $25.08
Selected Poems,Cecil Day Lewis,1940,US $25.08
Selected Poems,William Plomer,1940,US $25.08
Selected Poems,Herman Melville,1941,US $25.08
Selected Poems,Rainer Maria Rilke,1941,US $25.08
Selected Poems,Vita Sackville-West,1941,US $25.08
Poems,Terence Tiller,1941,US $25.08
The Common Reader,Virginia Woolf,1925,"US $2,800.00"
Letters,Stephen Reynolds,1923,US $200.00
Monday or Tuesday,Virginia Woolf,1921,"US $2,000.00"
Poets of Tomorrow,John Lehmann,1939,US $16.00
Poets of Tomorrow,John Lehmann,1940,US $16.00
Sally Bowles,Christopher Isherwood,1937,"US $4,800.00"
Letters,Stephen Reynolds,1923,AU $67.27
Letters,Stephen Reynolds,1923,GBP 5.99
Original Letters from India,Eliza Fay,1925,GBP 5.99
Monday or Tuesday,Virginia Woolf,1921,US $11.73
Letters,Stephen Reynolds,1923,AU $11.37
Collected Papers,Sigmund Freud,1924,US $27.19
After the Deluge,Leonard Woolf,1931,US $26.10
After the Deluge,Leonard Woolf,1939,US $26.10
Poems,C.N. Sidney Woolf,1918,US $14.00
Poems,TS Eliot,1919,US $14.00
Poems,Clive Bell,1921,US $14.00
Poems,Frank Prewett,1921,US $14.00
Poems,GH Luce,1923,US $14.00
Poems,Barrington Gates,1925,US $14.00
Poems,George Rylands,1931,US $14.00
Poems,Maria Rainer Rilke,1934,US $14.00
Poems,Christopher Lee,1937,US $14.00
Poems,Kenneth Allott,1938,US $14.00
Poems,Terence Tiller,1941,US $14.00
Poems,C.N. Sidney Woolf,1918,GBP 48.10
Poems,TS Eliot,1919,GBP 48.10
Poems,Clive Bell,1921,GBP 48.10
Poems,Frank Prewett,1921,GBP 48.10
Poems,GH Luce,1923,GBP 48.10
Poems,Barrington Gates,1925,GBP 48.10
Poems,George Rylands,1931,GBP 48.10
Collected Poems,Vita Sackville-West,1933,GBP 48.10
Poems,Maria Rainer Rilke,1934,GBP 48.10
Collected Poems,Cecil Day Lewis,1935,GBP 48.10
Poems,Christopher Lee,1937,GBP 48.10
Poems,Kenneth Allott,1938,GBP 48.10
Poems,Terence Tiller,1941,GBP 48.10
Letters,Stephen Reynolds,1923,US $17.95
Poems,C.N. Sidney Woolf,1918,US $27.25
Poems,TS Eliot,1919,US $27.25
Poems,Clive Bell,1921,US $27.25
Poems,Frank Prewett,1921,US $27.25
Poems,GH Luce,1923,US $27.25
Poems,Barrington Gates,1925,US $27.25
Poems,George Rylands,1931,US $27.25
Poems,Maria Rainer Rilke,1934,US $27.25
Poems,Christopher Lee,1937,US $27.25
Poems,Kenneth Allott,1938,US $27.25
Poems,Terence Tiller,1941,US $27.25
Letters,Stephen Reynolds,1923,US $43.75
Dream Analysis,Ella Freeman Sharpe,1937,US $52.95
The Psycho-Analysis of Children,Melanie Klein,1932,AU $40.56
Letters,Stephen Reynolds,1923,US $126.95
The Years,Virginia Woolf,1938,"US $1,750.00"
To the Lighthouse,Virginia Woolf,1927,"US $3,000.00"
Parallax,Nancy Cunard,1925,"US $1,000.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $7,500.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $6,500.00"
Amber Innocent,Joan Aden Easdale,1939,"US $1,500.00"
Sally Bowles,Christopher Isherwood,1937,US $200.00
The Waves,Virginia Woolf,1931,US $120.00
The Years,Virginia Woolf,1938,US $29.99
The Waves,Virginia Woolf,1931,US $240.00
Sally Bowles,Christopher Isherwood,1937,"US $5,000.00"
Poems,C.N. Sidney Woolf,1918,GBP 19.95
Poems,TS Eliot,1919,GBP 19.95
Poems,Clive Bell,1921,GBP 19.95
Poems,Frank Prewett,1921,GBP 19.95
Poems,GH Luce,1923,GBP 19.95
Poems,Barrington Gates,1925,GBP 19.95
Poems,George Rylands,1931,GBP 19.95
Poems,Maria Rainer Rilke,1934,GBP 19.95
Poems,Christopher Lee,1937,GBP 19.95
Poems,Kenneth Allott,1938,GBP 19.95
Selected Poems,Cecil Day Lewis,1940,GBP 19.95
Selected Poems,William Plomer,1940,GBP 19.95
Selected Poems,Herman Melville,1941,GBP 19.95
Selected Poems,Rainer Maria Rilke,1941,GBP 19.95
Selected Poems,Vita Sackville-West,1941,GBP 19.95
Poems,Terence Tiller,1941,GBP 19.95
Noah and the Waters,Cecil Day Lewis,1936,US $27.50
Poems,C.N. Sidney Woolf,1918,US $25.08
Poems,TS Eliot,1919,US $25.08
Poems,Clive Bell,1921,US $25.08
Poems,Frank Prewett,1921,US $25.08
Poems,GH Luce,1923,US $25.08
Poems,Barrington Gates,1925,US $25.08
Poems,George Rylands,1931,US $25.08
Poems,Maria Rainer Rilke,1934,US $25.08
Poems,Christopher Lee,1937,US $25.08
Poems,Kenneth Allott,1938,US $25.08
Selected Poems,Cecil Day Lewis,1940,US $25.08
Selected Poems,William Plomer,1940,US $25.08
Selected Poems,Herman Melville,1941,US $25.08
Selected Poems,Rainer Maria Rilke,1941,US $25.08
Selected Poems,Vita Sackville-West,1941,US $25.08
Poems,Terence Tiller,1941,US $25.08
Letters,Stephen Reynolds,1923,US $200.00
The Common Reader,Virginia Woolf,1925,"US $2,800.00"
Monday or Tuesday,Virginia Woolf,1921,"US $2,000.00"
Poets of Tomorrow,John Lehmann,1939,US $16.00
Poets of Tomorrow,John Lehmann,1940,US $16.00
Sally Bowles,Christopher Isherwood,1937,"US $4,800.00"
Letters,Stephen Reynolds,1923,AU $67.27
Letters,Stephen Reynolds,1923,GBP 5.99
Original Letters from India,Eliza Fay,1925,GBP 5.99
Letters,Stephen Reynolds,1923,AU $11.37
Collected Papers,Sigmund Freud,1924,US $27.19
After the Deluge,Leonard Woolf,1931,US $26.10
After the Deluge,Leonard Woolf,1939,US $26.10
Poems,C.N. Sidney Woolf,1918,US $14.00
Poems,TS Eliot,1919,US $14.00
Poems,Clive Bell,1921,US $14.00
Poems,Frank Prewett,1921,US $14.00
Poems,GH Luce,1923,US $14.00
Poems,Barrington Gates,1925,US $14.00
Poems,George Rylands,1931,US $14.00
Poems,Maria Rainer Rilke,1934,US $14.00
Poems,Christopher Lee,1937,US $14.00
Poems,Kenneth Allott,1938,US $14.00
Poems,Terence Tiller,1941,US $14.00
Poems,C.N. Sidney Woolf,1918,GBP 48.10
Poems,TS Eliot,1919,GBP 48.10
Poems,Clive Bell,1921,GBP 48.10
Poems,Frank Prewett,1921,GBP 48.10
Poems,GH Luce,1923,GBP 48.10
Poems,Barrington Gates,1925,GBP 48.10
Poems,George Rylands,1931,GBP 48.10
Collected Poems,Vita Sackville-West,1933,GBP 48.10
Poems,Maria Rainer Rilke,1934,GBP 48.10
Collected Poems,Cecil Day Lewis,1935,GBP 48.10
Poems,Christopher Lee,1937,GBP 48.10
Poems,Kenneth Allott,1938,GBP 48.10
Poems,Terence Tiller,1941,GBP 48.10
Letters,Stephen Reynolds,1923,US $17.95
Poems,C.N. Sidney Woolf,1918,US $27.25
Poems,TS Eliot,1919,US $27.25
Poems,Clive Bell,1921,US $27.25
Poems,Frank Prewett,1921,US $27.25
Poems,GH Luce,1923,US $27.25
Poems,Barrington Gates,1925,US $27.25
Poems,George Rylands,1931,US $27.25
Poems,Maria Rainer Rilke,1934,US $27.25
Poems,Christopher Lee,1937,US $27.25
Poems,Kenneth Allott,1938,US $27.25
Poems,Terence Tiller,1941,US $27.25
Letters,Stephen Reynolds,1923,US $43.75
Letters,Stephen Reynolds,1923,US $126.95
Dream Analysis,Ella Freeman Sharpe,1937,US $52.95
The Psycho-Analysis of Children,Melanie Klein,1932,AU $40.56
The Years,Virginia Woolf,1938,"US $1,750.00"
To the Lighthouse,Virginia Woolf,1927,"US $3,000.00"
Parallax,Nancy Cunard,1925,"US $1,000.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $7,500.00"
Mrs. Dalloway,Virginia Woolf,1925,"US $6,500.00"
Amber Innocent,Joan Aden Easdale,1939,"US $1,500.00"
Sally Bowles,Christopher Isherwood,1937,US $200.00
The Waves,Virginia Woolf,1931,US $120.00
The Years,Virginia Woolf,1938,US $29.99
The Waves,Virginia Woolf,1931,US $240.00
Sally Bowles,Christopher Isherwood,1937,"US $5,000.00"
Poems,C.N. Sidney Woolf,1918,GBP 19.95
Poems,TS Eliot,1919,GBP 19.95
Poems,Clive Bell,1921,GBP 19.95
Poems,Frank Prewett,1921,GBP 19.95
Poems,GH Luce,1923,GBP 19.95
Poems,Barrington Gates,1925,GBP 19.95
Poems,George Rylands,1931,GBP 19.95
Poems,Maria Rainer Rilke,1934,GBP 19.95
Poems,Christopher Lee,1937,GBP 19.95
Poems,Kenneth Allott,1938,GBP 19.95
Selected Poems,Cecil Day Lewis,1940,GBP 19.95
Selected Poems,William Plomer,1940,GBP 19.95
Selected Poems,Herman Melville,1941,GBP 19.95
Selected Poems,Rainer Maria Rilke,1941,GBP 19.95
Selected Poems,Vita Sackville-West,1941,GBP 19.95
Poems,Terence Tiller,1941,GBP 19.95
Noah and the Waters,Cecil Day Lewis,1936,US $27.50
Poems,C.N. Sidney Woolf,1918,US $25.08
Poems,TS Eliot,1919,US $25.08
Poems,Clive Bell,1921,US $25.08
Poems,Frank Prewett,1921,US $25.08
Poems,GH Luce,1923,US $25.08
Poems,Barrington Gates,1925,US $25.08
Poems,George Rylands,1931,US $25.08
Poems,Maria Rainer Rilke,1934,US $25.08
Poems,Christopher Lee,1937,US $25.08
Poems,Kenneth Allott,1938,US $25.08
Selected Poems,Cecil Day Lewis,1940,US $25.08
Selected Poems,William Plomer,1940,US $25.08
Selected Poems,Herman Melville,1941,US $25.08
Selected Poems,Rainer Maria Rilke,1941,US $25.08
Selected Poems,Vita Sackville-West,1941,US $25.08
Poems,Terence Tiller,1941,US $25.08
Letters,Stephen Reynolds,1923,US $200.00
The Common Reader,Virginia Woolf,1925,"US $2,800.00"
Monday or Tuesday,Virginia Woolf,1921,"US $2,000.00"
Poets of Tomorrow,John Lehmann,1939,US $16.00
Poets of Tomorrow,John Lehmann,1940,US $16.00
Sally Bowles,Christopher Isherwood,1937,"US $4,800.00"
Letters,Stephen Reynolds,1923,AU $67.27
Letters,Stephen Reynolds,1923,GBP 5.99
Original Letters from India,Eliza Fay,1925,GBP 5.99
Letters,Stephen Reynolds,1923,US $126.95
Monday or Tuesday,Virginia Woolf,1921,US $11.73
Dream Analysis,Ella Freeman Sharpe,1937,US $52.95
Letters,Stephen Reynolds,1923,AU $11.37
Collected Papers,Sigmund Freud,1924,US $27.19
After the Deluge,Leonard Woolf,1931,US $26.10
After the Deluge,Leonard Woolf,1939,US $26.10
Poems,C.N. Sidney Woolf,1918,US $14.00
Poems,TS Eliot,1919,US $14.00
Poems,Clive Bell,1921,US $14.00
Poems,Frank Prewett,1921,US $14.00
Poems,GH Luce,1923,US $14.00
Poems,Barrington Gates,1925,US $14.00
Poems,George Rylands,1931,US $14.00
Poems,Maria Rainer Rilke,1934,US $14.00
Poems,Christopher Lee,1937,US $14.00
Poems,Kenneth Allott,1938,US $14.00
Poems,Terence Tiller,1941,US $14.00
Poems,C.N. Sidney Woolf,1918,GBP 48.10
Poems,TS Eliot,1919,GBP 48.10
Poems,Clive Bell,1921,GBP 48.10
Poems,Frank Prewett,1921,GBP 48.10
Poems,GH Luce,1923,GBP 48.10
Poems,Barrington Gates,1925,GBP 48.10
Poems,George Rylands,1931,GBP 48.10
Collected Poems,Vita Sackville-West,1933,GBP 48.10
Poems,Maria Rainer Rilke,1934,GBP 48.10
Collected Poems,Cecil Day Lewis,1935,GBP 48.10
Poems,Christopher Lee,1937,GBP 48.10
Poems,Kenneth Allott,1938,GBP 48.10
Poems,Terence Tiller,1941,GBP 48.10
Letters,Stephen Reynolds,1923,US $17.95
Poems,C.N. Sidney Woolf,1918,US $27.25
Poems,TS Eliot,1919,US $27.25
Poems,Clive Bell,1921,US $27.25
Poems,Frank Prewett,1921,US $27.25
Poems,GH Luce,1923,US $27.25
Poems,Barrington Gates,1925,US $27.25
Poems,George Rylands,1931,US $27.25
Poems,Maria Rainer Rilke,1934,US $27.25
Poems,Christopher Lee,1937,US $27.25
Poems,Kenneth Allott,1938,US $27.25
Poems,Terence Tiller,1941,US $27.25
Letters,Stephen Reynolds,1923,US $43.75
The Psycho-Analysis of Children,Melanie Klein,1932,AU $40.56
